1032,83853479,11223344,PO100033,2014-02-02,PO100033-1032
1033,83853479,11223344,PO100034,2014-02-03,PO100034-1033
1034,83853479,11223344,PO100035,2014-02-04,PO100035-1034
1035,83853479,11223344,PO100036,2014-02-05,PO100036-1035
1036,83853479,11223344,PO100037,2014-02-06,PO100037-1036
1037,83853479,11223344,PO100038,2014-02-07,PO100038-1037
1038,83853479,11223344,PO100039,2014-02-08,PO100039-1038
1039,17463603,11223344,PO100040,2014-02-09,PO100040-1039
1040,17463603,11223344,PO100041,2014-02-10,PO100041-1040
1041,17463603,11223344,PO100042,2014-02-11,PO100042-1041
1042,17463603,11223344,PO100043,2014-02-12,PO100043-1042
1043,17463603,11223344,PO100044,2014-02-13,PO100044-1043
1044,47643541,11223344,PO100045,2014-02-14,PO100045-1044
1045,47643541,11223344,PO100046,2014-02-15,PO100046-1045
1046,47643541,11223344,PO100047,2014-02-16,PO100047-1046
1047,47643541,11223344,PO100048,2014-02-17,PO100048-1047
1048,47643541,11223344,PO100049,2014-02-18,PO100049-1048
1049,47643541,11223344,PO100050,2014-02-19,PO100050-1049
1050,47643541,11223344,PO100051,2014-02-20,PO100051-1050
1051,47643541,11223344,PO100052,2014-02-21,PO100052-1051
1052,15183368,11223344,PO100053,2014-02-22,PO100053-1052
1053,15183368,11223344,PO100054,2014-02-23,PO100054-1053
1054,15183368,11223344,PO100055,2014-02-24,PO100055-1054
1055,15183368,11223344,PO100056,2014-02-25,PO100056-1055
1056,15183368,11223344,PO100057,2014-02-26,PO100057-1056
1057,15183368,11223344,PO100058,2014-02-27,PO100058-1057
1058,15183368,11223344,PO100059,2014-02-28,PO100059-1058
1059,15183368,11223344,PO100060,2014-03-01,PO100060-1059
1060,15183368,11223344,PO100061,2014-03-02,PO100061-1060
1061,15183368,11223344,PO100062,2014-03-03,PO100062-1061
1062,15183368,11223344,PO100063,2014-03-04,PO100063-1062
1063,15183368,11223344,PO100064,2014-03-05,PO100064-1063
1064,15183368,11223344,PO100065,2014-03-06,PO100065-1064
1065,15183368,11223344,PO100066,2014-03-07,PO100066-1065
1066,15183368,11223344,PO100067,2014-03-08,PO100067-1066
1067,15183368,11223344,PO100068,2014-03-09,PO100068-1067
1068,15183368,11223344,PO100069,2014-03-10,PO100069-1068
1069,15183368,11223344,PO100070,2014-03-11,PO100070-1069
1070,15183368,11223344,PO100071,2014-03-12,PO100071-1070
1071,15183368,11223344,PO100072,2014-03-13,PO100072-1071
1072,15183368,11223344,PO100073,2014-03-14,PO100073-1072
1073,15183368,11223344,PO100074,2014-03-15,PO100074-1073
1074,15183368,11223344,PO100075,2014-03-16,PO100075-1074
1075,15183368,11223344,PO100076,2014-03-17,PO100076-1075
1076,15183368,11223344,PO100077,2014-03-18,PO100077-1076
1077,15183368,11223344,PO100078,2014-03-19,PO100078-1077
1078,15183368,11223344,PO100079,2014-03-20,PO100079-1078
1079,60595185,11223344,PO100080,2014-03-21,PO100080-1079
1080,60595185,11223344,PO100081,2014-03-22,PO100081-1080
1081,60595185,11223344,PO100082,2014-03-23,PO100082-1081
1082,60595185,11223344,PO100083,2014-03-24,PO100083-1082
1083,60595185,11223344,PO100084,2014-03-25,PO100084-1083
1084,60595185,11223344,PO100085,2014-03-26,PO100085-1084
1085,60595185,11223344,PO100086,2014-03-27,PO100086-1085
1086,60595185,11223344,PO100087,2014-03-28,PO100087-1086
1087,60595185,11223344,PO100088,2014-03-29,PO100088-1087
1088,60595185,11223344,PO100089,2014-03-30,PO100089-1088
1089,60595185,11223344,PO100090,2014-03-31,PO100090-1089
1090,60595185,11223344,PO100091,2014-04-01,PO100091-1090
1091,60595185,11223344,PO100092,2014-04-02,PO100092-1091
1092,60595185,11223344,PO100093,2014-04-03,PO100093-1092
1093,60595185,11223344,PO100094,2014-04-04,PO100094-1093
1094,60595185,11223344,PO100095,2014-04-05,PO100095-1094
1095,60595185,11223344,PO100096,2014-04-06,PO100096-1095
1096,60595185,11223344,PO100097,2014-04-07,PO100097-1096
1097,60595185,11223344,PO100098,2014-04-08,PO100098-1097
1098,60595185,11223344,PO100099,2014-04-09,PO100099-1098
